Feature,Beta,CI,p-value,FDR,Annotation 1,Annotation 2
ENZRXN177V.1,0.00012,"(-0.00039,0.00064)",0.6447,0.847,"nucleoside diphosphatase|nucleoside diphosphatase|nucleoside diphosphatase|nucleoside diphosphatase|histidyl-tRNA synthetase|aspartyl-tRNA synthetase|tRNA pseudouridine synthase B|5'-nucleotidase|5'-nucleotidase|5'-nucleotidase|5'-nucleotidase|5'-nucleotidase|5'-nucleotidase|5'-nucleotidase|5'-nucleotidase|5'-nucleotidase|exodeoxyribonuclease VII|exodeoxyribonuclease VII|geranyltranstransferase|1-deoxy-D-xylulose-5-phosphate synthase|DNA polymerase IV|DNA polymerase IV|adenylosuccinate lyase|adenylosuccinate lyase|3-hexulose-6-phosphate isomerase|3-hexulose-6-phosphate synthase|ribosome-associated GTPase EngA|cytidylate kinase|cytidylate kinase|cytidylate kinase|UDP-N-acetylmuramate--alanine ligase|tRNA (guanine-N(7)-)-methyltransferase|polynucleotide phosphorylase|methionyl-tRNA formyltransferase|homogentisate 1,2-dioxygenase|tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase|DNA gyrase subunit A|DNA topoisomerase IV subunit B|acyl-phosphate glycerol 3-phosphate acyltransferase|dimethylallyladenosine tRNA methylthiotransferase|dimethylallyladenosine tRNA methylthiotransferase|dimethylallyladenosine tRNA methylthiotransferase|GTP pyrophosphokinase|GTP pyrophosphokinase|adenine phosphoribosyltransferase|adenine phosphoribosyltransferase|ATP-dependent DNA helicase RuvB|exodeoxyribonuclease III|GTPase CgtA|DNA polymerase III subunit alpha|exopolyphosphatase|tetrahydrodipicolinate succinyltransferase|diaminopimelate epimerase|diaminopimelate decarboxylase|ornithine carbamoyltransferase|acetylornithine aminotransferase|acetylornithine aminotransferase|ornithine acetyltransferase|n-acetyl-gamma-glutamyl-phosphate reductase|n-acetyl-gamma-glutamyl-phosphate reductase|argininosuccinate synthase|argininosuccinate synthase|tRNA (uracil-5-)-methyltransferase|DNA topoisomerase I|ribonuclease HII|GTPase YlqF|signal peptidase I|orotidine 5'-phosphate decarboxylase|carbamoyl phosphate synthase small subunit|carbamoyl phosphate synthase small subunit|carbamoyl phosphate synthase small subunit|carbamoyl phosphate synthase small subunit|carbamoyl phosphate synthase small subunit|carbamoyl phosphate synthase small subunit|lactate dehydrogenase|isocitrate dehydrogenase|citrate synthase|aconitate hydratase|aconitate hydratase|aconitate hydratase|adenylosuccinate synthetase|phosphoglyceromutase|phosphoglyceromutase|phosphoglyceromutase|phosphoglyceromutase|phosphoglyceromutase|phosphoglyceromutase|glycerol kinase|phenylalanyl-tRNA synthetase subunit alpha|6-phosphofructokinase|branched-chain amino acid aminotransferase|branched-chain amino acid aminotransferase|branched-chain amino acid aminotransferase|ribonucleotide-diphosphate reductase subunit alpha|ribonucleotide-diphosphate reductase subunit alpha|ribonucleotide-diphosphate reductase subunit alpha|ribonucleotide-diphosphate reductase subunit alpha|ribonucleotide-diphosphate reductase subunit alpha|ribonucleotide-diphosphate reductase subunit alpha|ribonucleotide-diphosphate reductase subunit alpha|valyl-tRNA synthetase|tyrosyl-tRNA synthetase|isoleucyl-tRNA synthetase|acetyl-CoA acetyltransferase|acetyl-CoA acetyltransferase|acetyl-CoA acetyltransferase|3-hydroxybutyryl-CoA dehydrogenase|phosphoribosylaminoimidazole-succinocarboxamide synthase|alanyl-tRNA synthetase|UDP-N-acetylenolpyruvoylglucosamine reductase|argininosuccinate lyase","UDP + H2O  <-->  UMP + phosphate + H+|a nucleoside diphosphate + H2O  <-->  a nucleoside 5'-monophosphate + phosphate + H+|dCDP + H2O  <-->  dCMP + phosphate + H+|CDP + H2O  <-->  CMP + phosphate + H+|a tRNAhis + L-histidine + ATP + H+  <-->  an L-histidyl-[tRNAhis] + AMP + diphosphate|tRNAasp + L-aspartate + ATP + H+  <-->  L-aspartyl-tRNAasp + AMP + diphosphate|a uridine38-40 in tRNA  <-->  a pseudouridine38-40 in tRNA|a ribonucleoside 5'-monophosphate + H2O  <-->  a ribonucleoside + phosphate|XMP + H2O  <-->  xanthosine + phosphate|UMP + H2O  <-->  uridine + phosphate|GMP + H2O  <-->  guanosine + phosphate|beta-nicotinamide D-ribonucleotide + H2O  <-->  1-(beta-D ribofuranosyl)nicotinamide + phosphate|IMP + H2O  <-->  inosine + phosphate|AMP + H2O  <-->  adenosine + phosphate|beta-nicotinate D-ribonucleotide + H2O  <-->  beta-D-ribosylnicotinate + phosphate|CMP + H2O  <-->  cytidine + phosphate|a single stranded DNA + H2O  <-->  a ribonucleoside 5'-monophosphate + a single-stranded oligodeoxyribonucleotide|a single stranded DNA + H2O  <-->  a ribonucleoside 5'-monophosphate + a single-stranded oligodeoxyribonucleotide|geranyl diphosphate + isopentenyl diphosphate  <-->  (2E,6E)-farnesyl diphosphate + diphosphate|pyruvate + D-glyceraldehyde 3-phosphate + H+  <-->  1-deoxy-D-xylulose 5-phosphate + CO2|a deoxyribonucleoside triphosphate + (deoxynucleotides)(n)  <-->  (deoxynucleotides)(n+1) + diphosphate|DNAn + n H2O  <-->  n a nucleoside 5'-monophosphate|adenylo-succinate  <-->  fumarate + AMP|5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole  <-->  fumarate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide|hexulose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate|hexulose 6-phosphate  <-->  D-ribulose 5-phosphate + formaldehyde|GTP + H2O  <-->  GDP + phosphate + H+|ATP + CMP  <-->  ADP + CDP|ATP + dCMP  <-->  ADP + dCDP|ATP + UMP  <-->  ADP + UDP|L-alanine + UDP-N-acetyl-alpha-D-muramate + ATP  <-->  UDP-N-acetyl-alpha-D-muramoyl-L-alanine + ADP + phosphate + H+|guanine46 in tRNA + S-adenosyl-L-methionine  <-->  N7-methylguanine46 in tRNA + S-adenosyl-L-homocysteine|(ribonucleotides)(n) + phosphate  <-->  (ribonucleotides)(n-1) + a nucleoside diphosphate|an N10-formyl-tetrahydrofolate + an L-methionyl-[initiator tRNAmet]  <-->  a tetrahydrofolate + an N-formyl-L-methionyl-[initiator tRNAmet]|homogentisate + oxygen  <-->  4-maleyl-acetoacetate + H+|a 5-aminomethyl-2-thiouridine in tRNA + S-adenosyl-L-methionine  <-->  S-adenosyl-L-homocysteine + a 5-methylaminomethyl-2-thiouridine in tRNA + H+|a double stranded DNA + ATP  <-->  a negatively supercoiled DNA + ADP + phosphate|a negatively supercoiled DNA  <-->  a relaxed DNA|sn-glycerol 3-phosphate + an acyl phosphate  <-->  a 1-acyl-sn-glycerol 3-phosphate + phosphate|N6-dimethylallyladenosine37 in tRNA + 2 S-adenosyl-L-methionine + a sulfurated [sulfur carrier] + an reduced unknown electron acceptor  <-->  2-methylthio-N6-dimethylallyladenosine37 in tRNA + S-adenosyl-L-homocysteine + an unsulfurated [sulfur carrier] + 5'-deoxyadenosine + L-methionine + an oxidized unknown electron acceptor + 2 H+|N6-dimethylallyladenosine37 in tRNA + a sulfurated [sulfur carrier] + S-adenosyl-L-methionine + an reduced unknown electron acceptor  <-->  2-thio-N6-dimethylallyladenosine37 in tRNA + an unsulfurated [sulfur carrier] + 5'-deoxyadenosine + L-methionine + an oxidized unknown electron acceptor + H+|2-thio-N6-dimethylallyladenosine37 in tRNA + S-adenosyl-L-methionine  <-->  2-methylthio-N6-dimethylallyladenosine37 in tRNA + S-adenosyl-L-homocysteine + H+|GTP + ATP  <-->  pppGpp + AMP|ATP + GDP  <-->  AMP + ppGpp|AMP + diphosphate  <-->  adenine + 5-phospho-alpha-D-ribose 1-diphosphate|5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide + diphosphate  <-->  5-amino-4-imidazolecarboxyamide + 5-phospho-alpha-D-ribose 1-diphosphate|a supercoiled duplex DNA + ATP + H2O  <-->  a single stranded DNA + ADP + phosphate|(deoxynucleotides)(n) + H2O  <-->  (deoxynucleotides)(n-1) + a nucleoside 5'-monophosphate|GTP + H2O  <-->  GDP + phosphate + H+|a deoxyribonucleoside triphosphate + (deoxynucleotides)(n)  <-->  (deoxynucleotides)(n+1) + diphosphate|(polyphosphate)(n) + H2O  <-->  (polyphosphate)(n-1) + phosphate|(S)-2,3,4,5-tetrahydrodipicolinate + succinyl-CoA + H2O  <-->  N-succinyl-2-amino-6-ketopimelate + coenzyme A|L,L-diaminopimelate  <-->  meso-diaminopimelate|meso-diaminopimelate + H+  <-->  CO2 + L-lysine|L-canaline + carbamoyl phosphate  <-->  O-ureidohomoserine + phosphate|N-acetyl-L-ornithine + 2-oxoglutarate  <-->  L-glutamate + N-acetyl-L-glutamate 5-semialdehyde|an [L-2-aminoadipate carrier protein]-L-ornithine + 2-oxoglutarate  <-->  L-glutamate + an [L-2-aminoadipate carrier protein]-L-glutamate 5-semialdehyde|L-glutamate + N-acetyl-L-ornithine  <-->  N-acetyl-L-glutamate + L-ornithine|N-acetyl-L-glutamate 5-semialdehyde + NADP+ + phosphate  <-->  N-acetylglutamyl-phosphate + NADPH + H+|an [L-2-aminoadipate carrier protein]-L-glutamate 5-semialdehyde + NADP+ + phosphate  <-->  an [L-2-aminoadipate carrier protein]-L-glutamate 5-phosphate + NADPH + H+|L-aspartate + L-citrulline + ATP  <-->  L-arginino-succinate + AMP + diphosphate + H+|O-ureidohomoserine + L-aspartate + ATP  <-->  canavaninosuccinate + AMP + diphosphate + H+|a uracil54 in tRNA + S-adenosyl-L-methionine  <-->  a 5-methyluracil54 in tRNA + S-adenosyl-L-homocysteine + H+|a negatively supercoiled DNA  <-->  a relaxed DNA|a RNA-DNA hybrid + n H2O  <-->  DNA + n a nucleoside 5'-monophosphate|GTP + H2O  <-->  GDP + phosphate + H+|a peptide with a leader sequence + H2O  <-->  a peptide + a leader sequence|orotidine 5'-phosphate + H+  <-->  CO2 + UMP|2 ATP + L-glutamine + hydrogen carbonate + H2O  <-->  L-glutamate + carbamoyl phosphate + 2 ADP + phosphate + 2 H+|2 ATP + hydrogen carbonate + ammonium  <-->  2 ADP + carbamoyl phosphate + phosphate + 2 H+|hydrogen carbonate + ATP  <-->  carboxyphosphate + ADP|carboxyphosphate + ammonium  <-->  carbamate + phosphate + 2 H+|carbamate + ATP  <-->  carbamoyl phosphate + ADP|L-glutamine + H2O  <-->  L-glutamate + ammonium|(S)-lactate + NAD+  <-->  pyruvate + NADH + H+|D-threo-isocitrate + NAD+  <-->  2-oxoglutarate + CO2 + NADH|acetyl-CoA + oxaloacetate + H2O  <-->  citrate + coenzyme A + H+|citrate  <-->  D-threo-isocitrate|citrate  <-->  cis-aconitate + H2O|cis-aconitate + H2O  <-->  D-threo-isocitrate|L-aspartate + IMP + GTP  <-->  adenylo-succinate + GDP + phosphate + 2 H+|2-phospho-D-glycerate  <-->  3-phospho-D-glycerate|a [protein]-L-histidine + 2,3-diphospho-D-glycerate  <-->  a [protein]-Npi-phospho-L-histidine + 2/3-phospho-D-glycerate|a [protein]-Npi-phospho-L-histidine + 2-phospho-D-glycerate  <-->  a [protein]-L-histidine + 2,3-diphospho-D-glycerate|a [protein]-L-histidine + 2,3-diphospho-D-glycerate  <-->  a [protein]-Npi-phospho-L-histidine + 3-phospho-D-glycerate|a [protein]-Npi-phospho-L-histidine + 2/3-phospho-D-glycerate  <-->  a [protein]-L-histidine + 2,3-diphospho-D-glycerate|2-phospho-D-glycerate  <-->  3-phospho-D-glycerate|glycerol + ATP  <-->  sn-glycerol 3-phosphate + ADP + H+|a tRNAphe + L-phenylalanine + ATP + H+  <-->  an L-phenylalanyl-[tRNAphe] + AMP + diphosphate|ATP + beta-D-fructofuranose 6-phosphate  <-->  ADP + fructose 1,6-bisphosphate + H+|L-valine + 2-oxoglutarate  <-->  L-glutamate + 3-methyl-2-oxobutanoate|L-isoleucine + 2-oxoglutarate  <-->  L-glutamate + (S)-3-methyl-2-oxopentanoate|L-leucine + 2-oxoglutarate  <-->  L-glutamate + 4-methyl-2-oxopentanoate|dUDP + an oxidized NrdH glutaredoxin-like protein + H2O  <-->  UDP + a reduced NrdH glutaredoxin-like protein|dGDP + an oxidized thioredoxin + H2O  <-->  GDP + a reduced thioredoxin|dADP + an oxidized thioredoxin + H2O  <-->  ADP + a reduced thioredoxin|dCDP + an oxidized thioredoxin + H2O  <-->  CDP + a reduced thioredoxin|a 2'-deoxyribonucleoside 5'-diphosphate + an oxidized thioredoxin + H2O  <-->  a ribonucleoside diphosphate + a reduced thioredoxin|dADP + an oxidized NrdH glutaredoxin-like protein + H2O  <-->  ADP + a reduced NrdH glutaredoxin-like protein|dUDP + an oxidized thioredoxin + H2O  <-->  UDP + a reduced thioredoxin|a tRNAval + L-valine + ATP + H+  <-->  an"
ENZRXN179Q.421,0.00012,"(-0.00039,0.00064)",0.6447,0.847,argininosuccinate lyase,canavaninosuccinate  <-->  L-canavanine + fumarate
ENZRXNHIM.1207,0.00012,"(-0.00039,0.00064)",0.6447,0.847,argininosuccinate lyase,canavaninosuccinate  <-->  L-canavanine + fumarate
ENZRXNHP6.1556,0.00012,"(-0.00039,0.00064)",0.6447,0.847,argininosuccinate lyase,canavaninosuccinate  <-->  L-canavanine + fumarate
ENZRXNI46.716,0.00012,"(-0.00039,0.00064)",0.6447,0.847,argininosuccinate lyase,canavaninosuccinate  <-->  L-canavanine + fumarate
ENZRXN1375.1310,0.00012,"(-0.00039,0.00064)",0.645,0.847,nicotinate (nicotinamide) nucleotide adenylyltransferase,beta-nicotinate D-ribonucleotide + ATP + H+  <-->  nicotinate adenine dinucleotide + diphosphate
ENZRXN1375.948,-0.00011,"(-0.00058,0.00036)",0.6458,0.847,serine O-acetyltransferase,L-serine + acetyl-CoA  <-->  O-acetyl-L-serine + coenzyme A
ENZRXN1375.173,0.00017,"(-0.00055,0.00089)",0.646,0.847,1-acyl-sn-glycerol-3-phosphate acyltransferase,1-oleyl-2-lyso-phosphatidate + oleoyl-CoA  <-->  1-18:1-2-18:1-phosphatidate + coenzyme A
ENZRXNHOS.156,0.00021,"(-0.00068,0.0011)",0.6488,0.847,DNA-directed RNA polymerase subunit beta,a nucleoside triphosphate + RNA(n)  <-->  RNA(n+1) + diphosphate
ENZRXNMWQ.2,0.00021,"(-0.00068,0.0011)",0.6488,0.847,"UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase|UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase|ribose-phosphate diphosphokinase|aminoacyl-tRNA hydrolase|aminoacyl-tRNA hydrolase|dTMP kinase|methionine--tRNA ligase|polyphosphate kinase 1|methionine synthase, vitamin-B12 independent|methionine synthase, vitamin-B12 independent|ribonuclease M5|DNA topoisomerase|UTP--glucose-1-phosphate uridylyltransferase|ribonuclease HI|glucose-6-phosphate isomerase|glucose-6-phosphate isomerase|glucose-6-phosphate isomerase|UDP-glucose 4-epimerase|anaerobic ribonucleoside-triphosphate reductase|anaerobic ribonucleoside-triphosphate reductase|anaerobic ribonucleoside-triphosphate reductase|anaerobic ribonucleoside-triphosphate reductase|anaerobic ribonucleoside-triphosphate reductase|anaerobic ribonucleoside-triphosphate reductase activating protein|3-oxoacyl-(acyl carrier protein) synthase III|[acyl-carrier-protein] S-malonyltransferase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|3-oxoacyl-[acyl-carrier-protein] reductase|citrate lyase acyl carrier protein|citrate lyase acyl carrier protein|citrate lyase acyl carrier protein|pyruvate kinase|pyruvate kinase|pyruvate kinase|pyruvate kinase|glutamate-1-semialdehyde-2,1-aminomutase|porphobilinogen synthase|uroporphyrinogen-III C-methyltransferase|DNA-directed RNA polymerase, beta subunit","D-glucosamine 1-phosphate + acetyl-CoA  <-->  N-acetyl-alpha-D-glucosamine 1-phosphate + coenzyme A + H+|N-acetyl-alpha-D-glucosamine 1-phosphate + UTP + H+  <-->  UDP-N-acetyl-alpha-D-glucosamine + diphosphate|D-ribose 5-phosphate + ATP  <-->  5-phospho-alpha-D-ribose 1-diphosphate + AMP + H+|an L-asparaginyl-[tRNAasn] + H2O  <-->  L-asparagine + tRNAasn + 2 H+|an N-modified aminoacyl-[tRNA] + H2O  <-->  a tRNA + an N-modified amino acid + 2 H+|ATP + dTMP  <-->  ADP + dTDP|a tRNAmet + L-methionine + ATP + H+  <-->  an L-methionyl-[elongator tRNAmet] + AMP + diphosphate|ATP + (polyphosphate)(n)  <-->  ADP + (polyphosphate)(n+1)|seleno-L-homocysteine + 5-methyltetrahydropteroyl tri-L-glutamate + H+  <-->  seleno-L-methionine + tetrahydropteroyl tri-L-glutamate|L-homocysteine + 5-methyltetrahydropteroyl tri-L-glutamate  <-->  L-methionine + tetrahydropteroyl tri-L-glutamate|5S rRNA precursor + 2 H2O  <-->  a mature 5S-rRNA + 2 an oligonucleotide|a negatively supercoiled DNA  <-->  a relaxed DNA|alpha-D-glucose 1-phosphate + UTP + H+  <-->  UDP-alpha-D-glucose + diphosphate|a RNA-DNA hybrid + n H2O  <-->  DNA + n a nucleoside 5'-monophosphate|beta-D-glucose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate|D-glucopyranose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate|alpha-D-glucose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate|UDP-alpha-D-glucose  <-->  UDP-alpha-D-galactose|dGTP + an oxidized flavodoxin + H2O  <-->  GTP + a reduced flavodoxin|dCTP + an oxidized flavodoxin + H2O  <-->  CTP + a reduced flavodoxin|dUTP + an oxidized flavodoxin + H2O  <-->  UTP + a reduced flavodoxin|a deoxyribonucleoside triphosphate + an oxidized thioredoxin + H2O  <-->  a ribonucleoside triphosphate + a reduced thioredoxin|dATP + an oxidized flavodoxin + H2O  <-->  ATP + a reduced flavodoxin|a [formate C acetyltransferase]-glycine + S-adenosyl-L-methionine + a reduced flavodoxin  <-->  a [formate C acetyltransferase]-glycin -2-yl radical + 5'-deoxyadenosine + L-methionine + a flavodoxin semiquinone|acetyl-CoA + a malonyl-[acp] + H+  <-->  an acetoacetyl-[acp] + CO2 + coenzyme A|a holo-[acyl-carrier protein] + malonyl-CoA  <-->  a malonyl-[acp] + coenzyme A|a cis-delta15-3-hydroxyC34:1-[acp] + NADP+  <-->  a cis-delta15-3-oxo-C34:1-[acp] + NADPH + H+|a cis-delta13-3-hydroxyC32:1-[acp] + NADP+  <-->  a cis-delta13-3-oxo-C32:1-[acp] + NADPH + H+|a (3R)-3-hydroxy cis delta7-tetradecenoyl-[acp] + NADP+  <-->  a 3-oxo-cis-delta7-tetradecenoyl-[acp] + NADPH + H+|a (3R)-3-hydroxystearoyl-[acp] + NADP+  <-->  a 3-oxo-stearoyl-[acp] + NADPH + H+|a cis,cis-delta9,27-3-hydroxyC46:2-[acp] + NADP+  <-->  a cis,cis-delta9,27-3-oxo-C46:2-[acp] + NADPH + H+|a cis,cis-delta15,27-3-hydroxyC46:2-[acp] + NADP+  <-->  a cis,cis-delta15,27-3-oxo-C46:2-[acp] + NADPH + H+|a cis,cis-delta19,37-3-hydroxy-C56:2-[acp] + NADP+  <-->  a cis,cis-delta19,37-3-oxo-C56:2-[acp] + NADPH + H+|a (3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP+  <-->  a 3-oxoacyl-[acp] + NADPH + H+|a cis-delta9-3-hydroxyC28:1-[acp] + NADP+  <-->  a cis-delta9-3-oxo-C28:1-[acp] + NADPH + H+|a cis-delta11-3-hydroxyC30:1-[acp] + NADP+  <-->  a cis-delta11-3-oxo-C30:1-[acp] + NADPH + H+|a (3R)-3-hydroxyhexanoyl-[acp] + NADP+  <-->  a 3-oxo-hexanoyl-[acp] + NADPH + H+|a cis,cis-delta17,29-3-hydroxyC48:2-[acp] + NADP+  <-->  a cis,cis-delta17,29-3-oxo-C48:2-[acp] + NADPH + H+|a cis-delta21-3-hydroxyC40:1-[acp] + NADP+  <-->  a cis-delta21-3-oxo-C40:1-[acp] + NADPH + H+|a cis-delta19-3-hydroxyC38:1-[acp] + NADP+  <-->  a cis-delta19-3-oxo-C38:1-[acp] + NADPH + H+|a (3R,5Z)-3-hydroxy-dodec-5-enoyl-[acp] + NADP+  <-->  a (5Z)-3-oxo-dodec-5-enoyl-[acp] + NADPH + H+|an acetoacetyl-[acp] + NADPH + H+  <-->  a (3R)-3-hydroxybutanoyl-[acp] + NADP+|a cis,cis-delta13,25-3-hydroxyC44:2-[acp] + NADP+  <-->  a cis,cis-delta13,25-3-oxo-C44:2-[acp] + NADPH + H+|a (3R)-3-hydroxy cis delta9-hexadecenoyl-[acp] + NADP+  <-->  a 3-oxo-cis-delta9-hexadecenoyl-[acp] + NADPH + H+|a (3R)-3-hydroxydodecanoyl-[acp] + NADP+  <-->  a 3-oxo-dodecanoyl-[acp] + NADPH + H+|a cis,cis-delta7,19-3-hydroxyC38:2-[acp] + NADP+  <-->  a cis,cis-delta7,19-3-oxo-C38:2-[acp] + NADPH + H+|a (3R)-3-hydroxydecanoyl-[acp] + NADP+  <-->  a 3-oxo-decanoyl-[acp] + NADPH + H+|a cis,cis-delta19,31-3-hydroxyC50:2-[acp] + NADP+  <-->  a cis,cis-delta19,31-3-oxo-C50:2-[acp] + NADPH + H+|a cis,cis-delta11,29-3-hydroxy C48:2-[acp] + NADP+  <-->  a cis,cis-delta11,29-3-oxo-C48:2-[acp] + NADPH + H+|a cis,cis-delta21,39-3-hydroxyC58:2-[acp] + NADP+  <-->  a cis,cis-delta21,39-3-oxo-C58:2-[acp] + NADPH + H+|a cis,cis-delta5,23-3-hydroxyC42:2-[acp] + NADP+  <-->  a cis,cis-delta5,23-3-oxo-C42:2-[acp] + NADPH + H+|a cis,cis-delta15,33-3-hydroxy C52:2-[acp] + NADP+  <-->  a cis,cis-delta15,33-3-oxo-C52:2-[acp] + NADPH + H+|a (3R)-3-hydroxyoctanoyl-[acp] + NADP+  <-->  a 3-oxo-octanoyl-[acp] + NADPH + H+|a (3R)-3-hydroxybehenoyl-[acp] + NADP+  <-->  a 3-oxo-behenoyl-[acp] + NADPH + H+|a cis,cis-delta7,25-3-hydroxyC44:2-[acp] + NADP+  <-->  a cis,cis-delta7,25-3-oxo-C44:2-[acp] + NADPH + H+|a cis-delta5-3-hydroxyC24:1-[acp] + NADP+  <-->  a cis-delta5-3-oxo-C24:1-[acp] + NADPH + H+|a (3R)-3-hydroxyglutaryl-[acp] methyl ester + NADP+  <-->  a 3-oxo-glutaryl-[acp] methyl ester + NADPH + H+|a (3R)-3-hydroxymyristoyl-[acp] + NADP+  <-->  a 3-oxo-myristoyl-[acp] + NADPH + H+|a cis-delta17-3-hydroxyC36:1-[acp] + NADP+  <-->  a cis-delta17-3-oxo-C36:1-[acp] + NADPH + H+|a (3R)-3-hydroxypetroselinoyl-[acp] + NADP+  <-->  a 3-oxo-petroselinoyl-[acp] + NADPH + H+|a cis,cis-delta11,23-3-hydroxyC42:2-[acp] + NADP+  <-->  a cis,cis-delta11,23-3-oxo-C42:2-[acp] + NADPH + H+|a (3R)-3-hydroxypimeloyl-[acp] methyl ester + NADP+  <-->  a 3-oxo-pimeloyl-[acp] methyl ester + NADPH + H+|a cis,cis-delta17,35-3-hydroxyC54:2-[acp] + NADP+  <-->  a cis,cis-delta17,35-3-oxo-C54:2-[acp] + NADPH + H+|a cis,cis-delta5,17-3-hydroxyC36:2[acp] + NADP+  <-->  a cis,cis-delta5,17-3-oxo-C36:2-[acp] + NADPH + H+|a cis,cis-delta9,21-3-hydroxyC40:2-[acp] + NADP+  <-->  a cis,cis-delta9,21-3-oxo-C40:2-[acp] + NADPH + H+|a (3R)-3-hydroxypalmitoyl-[acp] + NADP+  <-->  a 3-oxo-palmitoyl-[acp] + NADPH + H+|a 3-oxo-behenoyl-[acp] + NADPH  <-->  a (3R)-3-hydroxybehenoyl-[acp] + NADP+|a (3R)-3-hydroxy-docosapentaenoyl-[acp] + NADP+  <-->  a 3-oxo-docosapentaenoyl [acp] + NADPH + H+|a cis,cis-delta13,31-3-hydroxy C50:2-[acp] + NADP+  <-->  a cis,cis-delta13,31-3-oxo-C50:2-[acp] + NADPH + H+|(R)-3-hydroxy-cis-vacc-11-enoyl-[acp] + NADP+  <-->  a 3-oxo-cis-vacc-11-enoyl-[acp] + NADPH + H+|a cis-delta7-3-hydroxyC26:1-[acp] + NADP+  <-->  a cis-delta7-3-oxo-C26:1-[acp] + NADPH + H+|3-oxo-eicosatrienoyl-CoA + NAD(P)H + H+  <-->  3-hydroxy-eicosatrienoyl-CoA + NAD(P)+|citrate  <-->  acetate + oxaloacetate|citrate + an acetyl-[holo citrate lyase acyl-carrier protein]  <-->  a citryl-[holo citrate lyase acyl-carrier protein] + acetate|a citryl-[holo citrate lyase acyl-carrier protein]  <-->  oxaloacetate + an acetyl-[holo citrate lyase acyl-carrier protein]|pyruvate + dATP  <-->  phosphoenolpyruvate + dADP + H+|pyruvate + GTP  <-->  phosphoenolpyruvate + GDP + H+|pyruvate + ATP  <-->  phosphoenolpyruvate + ADP + H+|pyruvate + dGTP  <-->  phosphoenolpyruvate + dGDP + H+|glutamate-1-semialdehyde  <-->  5-amino-levulinate|2 5-amino-levulinate  <-->  porphobilinogen + H+ + 2 H2O|2 S-adenosyl-L-methionine + uroporphyrinogen-III  <-->  2 S-adenosyl-L-homocysteine + precorrin-2 + H+|a nucleoside triphosphate + RNA(n)  <-->  RNA(n+1) + diphosphate"
ENZRXNMWR.119,0.00021,"(-0.00068,0.0011)",0.6488,0.847,"DNA-directed RNA polymerase, beta subunit",a nucleoside triphosphate + RNA(n)  <-->  RNA(n+1) + diphosphate
